id,Source,Target,sum,weight
1,Laub,Baum,0,0.0
2,Lehrer,Laub,0,0.0
3,Infrastruktur,Ast,0,0.0
4,Physik,Erde,0,0.0
5,Laub,Erde,0,0.0
6,Erde,Ast,0,0.0
7,Photosynthese,Schule,0,0.0
8,Photosynthese,Physik,0,0.0
9,Schule,Ast,0,0.0
10,Infrastruktur,Schule,0,0.0
11,Laub,Ast,0,0.0
12,Physik,Ast,0,0.0
13,Photosynthese,Laub,0,0.0
14,Fahrrad,Lehrer,0,0.0
15,Fahrrad,Ast,0,0.0
16,Ast,Baum,0,0.0
17,Fahrrad,Schule,0,0.0
18,Photosynthese,Erde,0,0.0
19,Infrastruktur,Physik,0,0.0
20,Photosynthese,Baum,0,0.0
21,Photosynthese,Lehrer,0,0.0
22,Photosynthese,Ast,0,0.0
23,Lehrer,Erde,0,0.0
24,Schule,Laub,0,0.0
25,Physik,Lehrer,0,0.0
26,Physik,Laub,0,0.0
27,Erde,Baum,0,0.0
28,Schule,Baum,0,0.0
29,Infrastruktur,Baum,0,0.0
30,Fahrrad,Erde,0,0.0
31,Physik,Schule,0,0.0
32,Infrastruktur,Erde,0,0.0
33,Schule,Erde,0,0.0
34,Fahrrad,Laub,0,0.0
35,Infrastruktur,Laub,0,0.0
36,Fahrrad,Physik,0,0.0
37,Fahrrad,Baum,0,0.0
38,Lehrer,Baum,0,0.0
39,Lehrer,Schule,0,0.0
40,Physik,Baum,0,0.0
41,Infrastruktur,Lehrer,0,0.0
42,Fahrrad,Photosynthese,0,0.0
43,Infrastruktur,Fahrrad,0,0.0
44,Lehrer,Ast,0,0.0
45,Infrastruktur,Photosynthese,0,0.0
